A. De Cia
Qin, Y.
Qiu, Siyao
Quadri, R.~F.
Quadri, Ryan
Quadri, Ryan F.
Quimby, R.~M.
Quinn, L.
R. Lunnan
R. Quimby
Racca, C.
Ragusa, E.
Rahmani, R.
Raja, W.
Rao, Anirudh
Ravi, V.
Reardon, D.~J.
Reichardt, C.~L.
Riccobene, G.
Rich, R. Michael
Ridden-Harper, R.
Ridolfi, A.
Riemer-Sorensen, S.
Robertson, B.
Rodriguez-Herranz, I.
Romanowsky, A.~J.
Romero-Colmenero, E.
Roodman, A.
Rorai, A.
Rosado, P.
Rosado, P.~A.
Rosenbaum, A.
Rudie, G.~C.
Rui, L.
Rumsey, C.
Russell, C.~J.
Ryan-Weber, E.
Ryan-Weber, E.~V.
Sadler, E.~M.
Sadus, R.~J.
Saha, K.
Sako, M.
Salcido, J.
Salda~na, M.
Salmon, Brett
Salvadori, I.
Salvato, Mara
Samtleben, D.~F.~E.
Sanchez, E.
Sanchez-Losa, A.
Sand, D.~J.
Sanders, D.~B.
Sanguineti, M.
Sansom, E.~K.
Sapienza, P.
Sarzi, M.
Sawangwit, U.
Sbarski, Igor
Scalzo, R.~A.
Scarpine, V.
Schaller, M.
Schaye, J.
Schindler, R.
Schipani, P.
Schlegel, David
Schmidt, B.~P.
Schneider, P.
Scholz, P.
Schreiber, C.
Schreiber, Corentin
Schroetter, I.
Schussler, F.
Scott, S.~M.
Sebastian Perez, M.
Seghouani, N.
Seigar, M.
Sellis, T.
Servillat, M.
Serylak, M.
Seyedmahmoudian, M.
Shang, Z.
Shannon, R.~M.
Shao, L.
Shappee, B.
Shara, M.~M.
Sharp, R.
Shaviv, N.~J.
Shen, K.~J.
Sheridan, John
Sieger, C.
Smillie, J.
Smith, M.
Smith, R.~C.
Soares-Santos, M.
Sobreira, F.
Sokolowski, M.
Sollerman, J.
Sommer, N.~E.
Spavone, M.
Spekkens, K.
Spiewak, R.
Spitler, L.
Spitler, L.~R.
Spitler, Lee
Spitler, Lee R.
Spolaor, M.
Spurio, M.
Staff, J.
Stappers, B.
Stappers, B.~W.
Stark, D.~P.
Steele, K.
Stevens, A.~R.~H.
Stolarczyk, T.
Straatman, C.
Straatman, C.~M.~S.
Straatman, Caroline
Straatman, Caroline M.
Straatman, Caroline M.~S.
Strader, J.
Suchyta, E.
Sullivan, M.
Sun, Chenghua
Sun, T.
Suntzeff, N.~B.
Suzuki, N.
Suzuki, Nao
Swann, E.
Swanson, M.~E.~C.
Tachmazidis, I.
Taddia, F.
Taiuti, M.
Takahashi, I.
Tanaka, M.
Tao, C.
Tarikul Islam
Tarle, G.
Tasca, Lidia
Tauris, T.~M.
Tayalati, Y.
Taylor, E.~N.
Temby, D.
Tepper-Garcia, T.
Terai, T.
Tescari, E.
Theuns, T.
Thierry, P.
Thompson, Mark C.
Tiburzi, C.
Tilvi, Vithal
Tingay, S.
Tinney, C.~G.
Todd, B. D.
Todd, B.D.
Tomczak, A.~R.
Tomczak, Adam
Tomczak, Adam R.
Tominaga, N.
Toniolo, U.
Toniolo, Umberto
Tonnis, C.
Toomey, L.
Torne, P.
Totani, T.
Tothill, N.~F.~H.
Towner, M.~C.
Tran, K. -V.
Tran, K.~V.~H.
Tran, Kim-Vy
Tran, Kim-Vy H.
Tricco, T.~S.
Trois, A.
Trott, C.
Trovato, A.
Tsai, P.-W.
Tucker, B.~E.
Tucker, D.~L.
Turpin, D.
Uddin, S.
Uddin, S.~A.
Usher, C.
Vaisanen, P.
Vale, C.~J.
Valenti, S.
Vallage, B.
Van Elewyck, V.
Venemans, B.
Venkatraman Krishnan, V.
Vernardos, G.
Versari, F.
Villaume, A.
Viola, M.
Vivolo, D.
Vizzocca, A.
Vlasiuk, M.
Vu, Hai L.
Walker, A.~R.
Walker, M.
Walters, R.~S.
Wang, J.
Wang, J.~B.
Wang, L.
Wang, N.
Wang, T.
Wang, X.
Wang, Yong
Wasserman, A.
Watson, F.
Wayth, R.
Webb, J.
Webb, J.~K.
Webb, N.
Webb, N.~A.
Wen, L.
Wex, N.
White, M.
White, Martin
Whiting, M.
Wiaux, Y.
Wiersema, K.
Williams, A.
Williams, T.
Williams, T.~B.
Willman, B.
Wilms, J.
Wilson, R.~W.
Wiseman, P.
Wisnioski, E.
Wolf, C.
Wolz, L.
Wong, O.~I.
Wong, Z.~C.
Woods, D.
Wozniak, P.
Wu, C.
Wu, X.
Wurster, J.
Wyder, T.~K.
Wyithe, J.~S.~B.
Wyithe, S.
Xiong, J.
Yamaguchi, M.
Yang, J.
Yaron, O.
Yasuda, N.
Yee, H.~K.~C.
Yin, Yichun
You, X.-P.
Yuan, J.~P.
Yuan, T.
Yuan, Tiantian
Yuan, Wentao
Yuan, X.
Zafari, F.
Zhang, B.
Zhang, H.
Zhang, J.
Zhang, T.
Zhang, Ze
Zhao, Chuan
Zhou, J.
Zhu, Beien
Zhu, L.
Zhu, X.-J.
Zitrin, A.
Zornoza, J.~D.
Zou, P.
Zovaro, H.
Zurlo, A.
Zu~niga, J.
da Cunha, E.
de Gois, J.~S.
de Gregorio-Monsalvo, I.
de Jong, J.
de Jong, J.~T.~A.
de Jong, M.
de Zeeuw, P.~T.
et al.
martizzi, davide
van Dokkum, P.
van Dokkum, Pieter
van Haren, H.
van Straten, W.
van Uitert, E.
van de Ven, G.
